model,horizon_hours,subgroup_type,subgroup_level,threshold,n,prevalence,auroc,auprc,brier,log_loss,sensitivity,specificity,precision,f1
logistic,24,ICU类型,CCU,0.1306187249924906,277,0.17328519855595667,0.8094068413391557,0.47176095190011974,0.12122316728106972,0.3889183789309779,0.6875,0.7816593886462883,0.39759036144578314,0.5038167938931297
logistic,24,ICU类型,CSRU,0.1306187249924906,372,0.026881720430107527,0.819060773480663,0.19646370400163207,0.0275345943244194,0.11248910890039723,0.6,0.914364640883978,0.16216216216216217,0.2553191489361702
logistic,24,ICU类型,MICU,0.1306187249924906,627,0.19298245614035087,0.7821513735994512,0.4358744274663551,0.14021764055501446,0.4331572931037804,0.8347107438016529,0.6482213438735178,0.36200716845878134,0.505
logistic,24,ICU类型,SICU,0.1306187249924906,524,0.14694656488549618,0.8454342078503152,0.47255580897481436,0.09891773091430585,0.31531777531898436,0.7792207792207793,0.7539149888143176,0.35294117647058826,0.48582995951417
logistic,24,性别,女性,0.1306187249924906,772,0.1489637305699482,0.7876249090066838,0.3703742777897821,0.11713580041783614,0.3730906315035854,0.7478260869565218,0.7077625570776256,0.30935251798561153,0.43765903307888043
logistic,24,性别,男性,0.1306187249924906,1025,0.1375609756097561,0.8657777349892494,0.5005424550023541,0.09086837779208698,0.2910425645229881,0.8085106382978723,0.7997737556561086,0.3917525773195876,0.5277777777777778
logistic,24,性别,未知,0.1306187249924906,3,0.0,,,,,,,,
logistic,24,年龄,<45岁,0.1306187249924906,215,0.07441860465116279,0.8209798994974874,0.34799841836818973,0.06210046590078607,0.22145074140936605,0.5625,0.8944723618090452,0.3,0.391304347826087
logistic,24,年龄,45–64岁,0.1306187249924906,581,0.09294320137693632,0.8751493428912784,0.46566169796243395,0.0670084973029369,0.22324906565220873,0.7777777777777778,0.8235294117647058,0.3111111111111111,0.4444444444444444
logistic,24,年龄,65–79岁,0.1306187249924906,595,0.15126050420168066,0.7995379537953796,0.41293550151305125,0.11123608945711248,0.36106746082999575,0.7444444444444445,0.7465346534653465,0.3435897435897436,0.47017543859649125
logistic,24,年龄,≥80岁,0.1306187249924906,409,0.23471882640586797,0.7777555910543131,0.45456427732544147,0.15917366191680535,0.47490885275611816,0.8541666666666666,0.5942492012779552,0.3923444976076555,0.5377049180327869
logistic,48,ICU类型,CCU,0.1111372537069476,277,0.17328519855595667,0.8318777292576419,0.4633360214748962,0.1214947030438705,0.3923043034574125,0.6875,0.7685589519650655,0.38372093023255816,0.4925373134328358
logistic,48,ICU类型,CSRU,0.1111372537069476,372,0.026881720430107527,0.8312154696132598,0.19430966974263061,0.02636479006634624,0.10581815536895835,0.6,0.9226519337016574,0.17647058823529413,0.2727272727272727
logistic,48,ICU类型,MICU,0.1111372537069476,627,0.19298245614035087,0.8300068598307909,0.6066455085329412,0.1171513088099838,0.3744355371381889,0.8347107438016529,0.6383399209486166,0.35563380281690143,0.49876543209876545
logistic,48,ICU类型,SICU,0.1111372537069476,524,0.14694656488549618,0.8758534530346611,0.6082516627809924,0.08637280717068796,0.28140367819344814,0.8181818181818182,0.756152125279642,0.36627906976744184,0.5060240963855421
logistic,48,性别,女性,0.1111372537069476,772,0.1489637305699482,0.8441003242670904,0.5386875723895327,0.09610495360830465,0.31798081858588095,0.782608695652174,0.7366818873668188,0.34220532319391633,0.47619047619047616
logistic,48,性别,男性,0.1111372537069476,1025,0.1375609756097561,0.8742418407624916,0.5624549381407339,0.08583599954384968,0.27782634415109897,0.8014184397163121,0.7737556561085973,0.3610223642172524,0.4977973568281938
logistic,48,性别,未知,0.1111372537069476,3,0.0,,,,,,,,
logistic,48,年龄,<45岁,0.1111372537069476,215,0.07441860465116279,0.8266331658291457,0.42336040433269645,0.06225245527141854,0.22330729549654288,0.625,0.8743718592964824,0.2857142857142857,0.39215686274509803
logistic,48,年龄,45–64岁,0.1111372537069476,581,0.09294320137693632,0.9112024738210697,0.6008680221321737,0.053891153327949096,0.18945918011751425,0.7777777777777778,0.8330170777988615,0.3230769230769231,0.45652173913043476
logistic,48,年龄,65–79岁,0.1111372537069476,595,0.15126050420168066,0.8293949394939495,0.4781351425160403,0.10674347377917338,0.33869784130167285,0.7777777777777778,0.7405940594059406,0.3482587064676617,0.48109965635738833
logistic,48,年龄,≥80岁,0.1111372537069476,409,0.23471882640586797,0.82354898828541,0.626006150609483,0.1319500033340628,0.41723028669789525,0.84375,0.5878594249201278,0.38571428571428573,0.5294117647058824
